EmployeeKey,SalesTerritoryKey,EmailAddress
1,11,guy1@adventure-works.com
2,11,kevin0@adventure-works.com
3,11,roberto0@adventure-works.com
4,11,rob0@adventure-works.com
5,11,rob0@adventure-works.com
6,11,thierry0@adventure-works.com
7,11,david0@adventure-works.com
8,11,david0@adventure-works.com
9,11,jolynn0@adventure-works.com
10,11,ruth0@adventure-works.com
11,11,gail0@adventure-works.com
12,11,barry0@adventure-works.com
13,11,jossef0@adventure-works.com
14,11,terri0@adventure-works.com
15,11,sidney0@adventure-works.com
16,11,taylor0@adventure-works.com
17,11,jeffrey0@adventure-works.com
18,11,jo0@adventure-works.com
19,11,doris0@adventure-works.com
20,11,john0@adventure-works.com
21,11,diane0@adventure-works.com
22,11,steven0@adventure-works.com
23,11,peter0@adventure-works.com
24,11,stuart0@adventure-works.com
25,11,greg0@adventure-works.com
26,11,david1@adventure-works.com
27,11,zheng0@adventure-works.com
28,11,ivo0@adventure-works.com
29,11,paul0@adventure-works.com
30,11,ashvini0@adventure-works.com
31,11,kendall0@adventure-works.com
32,11,paula0@adventure-works.com
33,11,alejandro0@adventure-works.com
34,11,garrett0@adventure-works.com
35,11,jianshuo0@adventure-works.com
36,11,susan0@adventure-works.com
37,11,vamsi0@adventure-works.com
38,11,alice0@adventure-works.com
39,11,simon0@adventure-works.com
40,11,jinghao0@adventure-works.com
41,11,michael0@adventure-works.com
42,11,yvonne0@adventure-works.com
43,11,peng0@adventure-works.com
44,11,jean0@adventure-works.com
45,11,russell0@adventure-works.com
46,11,ascott0@adventure-works.com
47,11,fred0@adventure-works.com
48,11,sariya0@adventure-works.com
49,11,willis0@adventure-works.com
50,11,jun0@adventure-works.com
51,11,christian0@adventure-works.com
52,11,susan1@adventure-works.com
53,11,reuben0@adventure-works.com
54,11,kirk0@adventure-works.com
55,11,david2@adventure-works.com
56,11,tengiz0@adventure-works.com
57,11,hanying0@adventure-works.com
58,11,kevin1@adventure-works.com
59,11,annik0@adventure-works.com
60,11,suroor0@adventure-works.com
61,11,deborah0@adventure-works.com
62,11,jim0@adventure-works.com
63,11,carole0@adventure-works.com
64,11,george0@adventure-works.com
65,11,gary0@adventure-works.com
66,11,cristian0@adventure-works.com
67,11,raymond0@adventure-works.com
68,11,janaina0@adventure-works.com
69,11,bob0@adventure-works.com
70,11,shammi0@adventure-works.com
71,11,linda0@adventure-works.com
72,11,mindy0@adventure-works.com
73,11,wendy0@adventure-works.com
74,11,kim0@adventure-works.com
75,11,sandra0@adventure-works.com
76,11,kok-ho0@adventure-works.com
77,11,douglas0@adventure-works.com
78,11,james0@adventure-works.com
79,11,sean0@adventure-works.com
80,11,nitin0@adventure-works.com
81,11,diane1@adventure-works.com
82,11,rebecca0@adventure-works.com
83,11,rajesh0@adventure-works.com
84,11,vidur0@adventure-works.com
85,11,john1@adventure-works.com
86,11,nancy0@adventure-works.com
87,11,pilar0@adventure-works.com
88,11,david3@adventure-works.com
89,11,david4@adventure-works.com
90,11,laura0@adventure-works.com
91,11,margie0@adventure-works.com
92,11,zainal0@adventure-works.com
93,11,lorraine0@adventure-works.com
94,11,fadi0@adventure-works.com
95,11,ryan0@adventure-works.com
96,11,candy0@adventure-works.com
97,11,nuan0@adventure-works.com
98,11,william0@adventure-works.com
99,11,william0@adventure-works.com
100,11,bjorn0@adventure-works.com
101,11,scott0@adventure-works.com
102,11,michael1@adventure-works.com
103,11,lane0@adventure-works.com
104,11,pete0@adventure-works.com
105,11,dan0@adventure-works.com
106,11,david5@adventure-works.com
107,11,lolan0@adventure-works.com
108,11,paula1@adventure-works.com
109,11,mary0@adventure-works.com
110,11,mindaugas0@adventure-works.com
111,11,eric0@adventure-works.com
112,11,ken0@adventure-works.com
113,11,jason0@adventure-works.com
114,11,mark0@adventure-works.com
115,11,janeth0@adventure-works.com
116,11,marc0@adventure-works.com
117,11,gigi0@adventure-works.com
118,11,paul1@adventure-works.com
119,11,frank0@adventure-works.com
120,11,françois0@adventure-works.com
121,11,diane2@adventure-works.com
122,11,jill0@adventure-works.com
123,11,angela0@adventure-works.com
124,11,matthias0@adventure-works.com
125,11,bryan0@adventure-works.com
126,11,jeff0@adventure-works.com
127,11,eugene0@adventure-works.com
128,11,barbara0@adventure-works.com
129,11,chris0@adventure-works.com
130,11,sean1@adventure-works.com
131,11,dan1@adventure-works.com
132,11,mark1@adventure-works.com
133,11,bryan1@adventure-works.com
134,11,houman0@adventure-works.com
135,11,sairaj0@adventure-works.com
136,11,michiko0@adventure-works.com
137,11,benjamin0@adventure-works.com
138,11,cynthia0@adventure-works.com
139,11,kathie0@adventure-works.com
140,11,britta0@adventure-works.com
141,11,brian0@adventure-works.com
142,11,david6@adventure-works.com
143,11,laura1@adventure-works.com
144,11,laura1@adventure-works.com
145,11,michael2@adventure-works.com
146,11,andy0@adventure-works.com
147,11,yuhong0@adventure-works.com
148,11,robert0@adventure-works.com
149,11,andreas0@adventure-works.com
150,11,reed0@adventure-works.com
151,11,linda1@adventure-works.com
152,11,james1@adventure-works.com
153,11,ramesh0@adventure-works.com
154,11,stephanie0@adventure-works.com
155,11,samantha0@adventure-works.com
156,11,tawana0@adventure-works.com
157,11,denise0@adventure-works.com
158,11,hao0@adventure-works.com
159,11,alex0@adventure-works.com
160,11,eugene1@adventure-works.com
161,11,brandon0@adventure-works.com
162,11,dylan0@adventure-works.com
163,11,shane0@adventure-works.com
164,11,john2@adventure-works.com
165,11,karen0@adventure-works.com
166,11,jose0@adventure-works.com
167,11,mandar0@adventure-works.com
168,11,mikael0@adventure-works.com
169,11,sameer0@adventure-works.com
170,11,dragan0@adventure-works.com
171,11,carol0@adventure-works.com
172,11,rob1@adventure-works.com
173,11,don0@adventure-works.com
174,11,alan0@adventure-works.com
175,11,david7@adventure-works.com
176,11,baris0@adventure-works.com
177,11,michael3@adventure-works.com
178,11,steve0@adventure-works.com
179,11,suchitra0@adventure-works.com
180,11,karen1@adventure-works.com
181,11,terrence0@adventure-works.com
182,11,barbara1@adventure-works.com
183,11,chad0@adventure-works.com
184,11,rostislav0@adventure-works.com
185,11,belinda0@adventure-works.com
186,11,katie0@adventure-works.com
187,11,russell1@adventure-works.com
188,11,jack0@adventure-works.com
189,11,andrew0@adventure-works.com
190,11,nicole0@adventure-works.com
191,11,frank1@adventure-works.com
192,11,peter1@adventure-works.com
193,11,anibal0@adventure-works.com
194,11,ken1@adventure-works.com
195,11,grant0@adventure-works.com
196,11,michael4@adventure-works.com
197,11,lionel0@adventure-works.com
198,11,thomas0@adventure-works.com
199,11,jimmy0@adventure-works.com
200,11,michael5@adventure-works.com
201,11,lori0@adventure-works.com
202,11,arvind0@adventure-works.com
203,11,stefen0@adventure-works.com
204,11,hazem0@adventure-works.com
